Station_Index,Distance_km,Arrival_Time_Num

0,2137.708614888007,19007.246891206396
1,2232.526183151543,19007.24848400799
2,2233.2263904141078,19007.255352082033
3,2233.393427447941,19007.256356350845
4,2235.0136200081697,19007.26633351676
5,2237.380889467692,19007.267240531855
6,2237.7401311960143,19007.271680373295
7,2239.4349162344124,19007.25761797143
8,2242.6661605170048,19007.2598877185
9,2243.0276601934634,19007.26259207951
10,2247.634512590865,19007.266237561747
11,2250.865228094559,19007.26270540846
12,2252.781216241092,19007.265522497404
13,2253.7672115611654,19007.259659779244
14,2257.3835001520274,19007.262801788653
15,2258.393741259505,19007.263516227635
16,2258.742750847254,19007.264423354965
17,2311.2816672570248,19007.268051864143
18,2315.677216826433,19007.256719468962
19,2316.9844341856524,19007.167671589043
20,2475.7455378577592,19007.262495607632
21,2486.4481548727417,19007.26427898614
22,2791.301993633632,19007.278383952664
23,3723.073100381083,19007.322238515277
24,4121.738044168476,19007.327103526397
25,4236.902782150523,19007.333830408952
26,4979.43950729514,19007.364418015968
27,4995.170173619045,19007.369713439566
28,7846.063088066736,19007.513177729703
29,7961.423952821986,19007.491658484185
30,8014.9371666802845,19007.169161678838
31,8052.780115702943,19007.169161678838
32,8054.734328323036,19007.496116858605
33,8054.734328323036,19007.49255014507
34,8176.023799268117,19007.495416003785
35,8393.901337167139,19007.495225174407
36,8393.901337167139,19007.495225228504
37,8393.901337167139,19007.50312513961
38,8393.901337167139,19007.49413181407
39,8393.901337167139,19007.506722520302
40,8494.995023593021,19007.50325037046
41,8514.73242736656,19007.500575294966
42,8520.22414108712,19007.502358686303
43,8521.718091972472,19007.514047233428
44,8522.987529971942,19007.50338124562
45,8535.630141997262,19007.505925445785
46,8557.057519676158,19007.505925415313
47,8565.055186380026,19007.514790486635
48,8565.698431217776,19007.503904951554
49,8570.239478997386,19007.5112755203
50,8582.469784395838,19007.497555045153
51,8586.802311527837,19007.508600429857
52,8600.301448922432,19007.509492121648
53,8791.0493949291,19007.513058881086
54,8898.004595243998,19007.525675977457
55,8898.678154155828,19007.530274877085
56,8935.196641149209,19007.538375753036
57,8992.75957757067,19007.520192361964
58,8995.560852957391,19007.173327243632
59,8995.568362369055,19007.5264341215
60,9000.375158174244,19007.503250393398
61,9002.291995507298,19007.530000917253
62,9020.360342411685,19007.52197570794
63,9045.014542594981,19007.53317583325
64,9060.472270517983,19007.526646838563
65,9092.100920660832,19007.173327265777
66,9104.847345396847,19007.16625498217
67,9146.634041826417,19007.170082081837
68,9213.395442145615,19007.533567587794
69,9225.967217010226,19007.541870648292
70,9238.38502008579,19007.538199423205
71,9248.369251166732,19007.541919306528
72,9248.825900958343,19007.53646266893
73,9262.479322880517,19007.555254900068
74,9262.990520857807,19007.536242662332
75,9265.47649898294,19007.53356760245
76,9269.467426805624,19007.539098755402
77,9289.855056643471,19007.54669718935
78,9320.626417905121,19007.5443887305
79,9355.565836165215,19007.547581347455
80,9409.464224417237,19007.54835416099
81,9529.666274555342,19007.543554140957
82,9529.959796782297,19007.554387507498
83,9775.169496137634,19007.563942991776
84,10188.562013459106,19007.168868778423
85,10189.658353216906,19007.170602341434
86,10226.127950435712,19007.172274915523
87,10243.594998643619,19007.58171856256
88,10243.945294184125,19007.170930039436
89,10255.541182079087,19007.17408020917
90,10261.531688473298,19007.164904014488
91,10435.513784595414,19007.590989155346
92,10484.111962130872,19007.16917491008
93,10588.949539925903,19007.597339037427
94,10628.243800400482,19007.60187470028
95,10642.436802557862,19007.154082184104
96,10652.550201986316,19007.146496828187
97,10656.042720037458,19007.606685745748
98,11152.549813202517,19007.60941331427
99,11166.546066550114,19007.625411093515
100,11301.465989218346,19007.631652870048
101,11322.431139873237,19007.629688185683
102,11359.16786768068,19007.632594303366
103,11360.466994019996,19007.165515143475
104,11463.111146274661,19007.631427115033
105,11466.305895112242,19007.636111297234
106,11471.24419717921,19007.628133341383
107,11471.24419717921,19007.625411074387
108,11679.197681116904,19007.647386532422
109,11975.439582748893,19007.63977577912
110,12034.992941797693,19007.16993956312
111,12055.245450558714,19007.662728449453
112,12072.890761225024,19007.64235309887
113,12112.75431377212,19007.659118330008
114,12118.825279231496,19007.65126994043
115,12140.196482733443,19007.164515998335
116,12163.784606891288,19007.65126992821
117,12401.569027127453,19007.167085443467
118,12614.232417611689,19007.167085443474
119,12623.275061735028,19007.160843620775
120,12657.189594000154,19007.685153955645
121,12662.441592576377,19007.678496346005
122,12669.697914381673,19007.168868822897
123,12677.1900337924,19007.16538544561
124,12679.114101823321,19007.68069550019
125,12682.087890364677,19007.163732201738
126,12783.668911063569,19007.684423250874
127,15153.735491513378,19007.787697592914
128,15172.200501038376,19007.785022568616
129,15289.826843913002,19007.793150578385
130,15552.321646885952,19007.79753582603
131,15580.594429032744,19007.800535566334
132,15649.145073361216,19007.808801227737
133,15734.57255204728,19007.804432997244
134,15744.796558903321,19007.811626803898
135,15751.851305064763,19007.818850175387
136,15834.833603753574,19007.822473289816
137,15902.933609250513,19007.814448118996
138,16356.723121056108,19007.164182161643
139,16361.502890494177,19007.838523609124
140,16361.992965457399,19007.844765398284
141,16383.026023519384,19007.842982021717
142,16400.49738945614,19007.786140898785
143,16411.85759938114,19007.80196455833
144,16411.87592912921,19007.80300905484
145,16411.982937007473,19007.797535816848
146,16412.0163651486,19007.798108510542
147,16412.02443509181,19007.799348423694
148,16422.738493874316,19007.8008065289
149,16438.180390888952,19007.79575266535
150,16446.453943676464,19007.847754141643
151,16506.687975666337,19007.80377684709
152,16506.68874233405,19007.810909453077
153,16506.700243142495,19007.79544068329
154,16506.712458790164,19007.799907189445
155,16506.73763670941,19007.80966422997
156,16506.749506999953,19007.80642297916
157,16509.615967080998,19007.806202565615
158,16509.622171344243,19007.171699569517
159,16510.18051941901,19007.164182161643
160,16521.1828792114,19007.79361181328
161,16521.303320527106,19007.79361181328
162,16528.0288234714,19007.852275250236
163,16535.500608065224,19007.832281798823
164,16554.02129598184,19007.868836365815
165,16559.54977843074,19007.854573904122
166,16569.209089094034,19007.86349077748
167,16582.799848158138,19007.867056456682
168,16600.435411567203,19007.858140656805
169,16621.682253925195,19007.868882873743
170,16623.512366127874,19007.864941610653
171,16634.696472231914,19007.16238338393
172,16662.76146311005,19007.868840863066
173,16735.496655665702,19007.15582116821
174,16763.417670127852,19007.877250378682
175,16765.480239593366,19007.886674554073
176,16765.932682429502,19007.873340214388
177,16765.934866870673,19007.874190975752
178,16765.954492441255,19007.884891185742
179,16766.038498120757,19007.87686602825
180,16766.27327995734,19007.87864939658
181,16766.502898292445,19007.877757712416
182,16766.803661271555,19007.879541080747
183,16767.062592388127,19007.160059145408
184,16783.120606593126,19007.87401228674
185,16785.521397512905,19007.156385278584
186,16795.138436154448,19007.164515920118
187,16870.72334053456,19007.880987174285
188,16875.858340371782,19007.874920003895
189,16875.999748582653,19007.15839869746
190,16880.315926713763,19007.165302075162
191,17014.44065674241,19007.886674550413
192,17018.033587627076,19007.877777634218
193,17028.83864484194,19007.878942954063
194,17033.89684761336,19007.87219861451
195,17056.13828269826,19007.884037807908
196,17135.437314213315,19007.893826004874
197,17136.570151102685,19007.88804245581
198,17306.774641506854,19007.883999483118
199,17533.396925302073,19007.90154972833
200,17687.132892071342,19007.168068495568
